provinciaId,provincia,departamentoId,departamento,tipo_casa,tipo_rancho,tipo_casilla,tipo_departamento,tipo_pieza_inquilinato,tipo_hotel,tipo_local,tipo_movil,tipo_calle,tipo_total,ocupacion_presente,ocupacion_temp_ausente,ocupacion_alquiler_venta,ocupacion_construccion,ocupacion_comercio,ocupacion_temporal,ocupacion_otra,ocupacion_total,colectiva_hogar_ancianos,colectiva_hogar_menores,colectiva_colegio_internado,colectiva_obrador,colectiva_hospital,colectiva_prision,colectiva_cuartel,colectiva_hogar_religioso,colectiva_hotel,colectiva_otros,colectiva_total,area_urbano,area_rural_agrupado,area_rural_disperso,area_total,material_piso_ceramica,material_piso_ladrillo,material_piso_tierra,material_piso_otro,material_piso_total,material_ext_membrana,material_ext_baldosa,material_ext_teja,material_ext_metal,material_ext_plastico,material_ext_carton,material_ext_tabla,material_ext_otro,material_ext_total,revestimiento_si,revestimiento_no,revestimiento_total,agua_dentro_vivienda,agua_dentro_terreno,agua_fuera_terreno,agua_total,agua_beber_red,agua_beber_bomba_motor,agua_beber_bomba_manual,agua_beber_pozo,agua_beber_cisterna,agua_beber_rio,agua_beber_total,letrina_si,letrina_no,letrina_total,cadena_si,cadena_no,cadena_total,inodoro_red,inodoro_camara_pozo,inodoro_solo_pozo,inodoro_hoyo,inodoro_total,banio_exclusivo,banio_compartido,banio_total,cocina_gas,cocina_granel,cocina_tubo,cocina_garrafa,cocina_electricidad,cocina_carbon,cocina_otro,cocina_total,heladera_si,heladera_no,heladera_total,pc_si,pc_no,pc_total,celular_si,celular_no,celular_total,telefono_linea_si,telefono_linea_no,telefono_linea_total,nbi_sin,nbi_con,nbi_total,prop_propietario_ambos,prop_propietario_vivienda,prop_inquilino,prop_a_prestamo,prop_por_trabajo,prop_otro,prop_total,hacinamiento_050,hacinamiento_051-099,hacinamiento_100-149,hacinamiento_150-199,hacinamiento_200-300,hacinamiento_mas-300,hacinamiento_total
2,Ciudad de Buenos Aires,1,Comuna 1,14254,120,326,106630,4343,4758,330,10,169,130940,78360,15617,6888,474,19131,1773,8528,130771,22,2,7,0,5,5,8,23,310,60,442,131382,0,0,131382,76488,7041,329,610,84468,34603,42629,471,4366,675,114,80,1530,84468,70387,14081,84468,78045,6186,237,84468,83388,858,41,60,113,8,84468,82373,2095,84468,78339,4034,82373,80665,764,886,58,82373,71964,10409,82373,70107,43,224,10918,2735,48,393,84468,77558,6910,84468,51500,32968,84468,73457,11011,84468,60208,24260,84468,71039,13429,84468,35149,6106,35912,3005,2622,1674,84468,25930,10601,27856,4203,12926,2952,84468
2,Ciudad de Buenos Aires,2,Comuna 2,5165,4,34,101980,289,451,38,6,31,107998,70869,17875,4943,337,5813,2068,6062,107967,17,0,2,0,19,1,5,17,48,29,138,108136,0,0,108136,72561,343,6,246,73156,37897,33682,219,261,90,5,2,1000,73156,69241,3915,73156,72794,354,8,73156,72959,119,7,16,54,1,73156,72903,253,73156,72695,208,72903,72707,134,58,4,72903,71696,1207,72903,71239,23,9,318,1495,2,70,73156,72641,515,73156,57998,15158,73156,65253,7903,73156,68708,4448,73156,71659,1497,73156,39395,3181,23847,2692,3276,765,73156,32552,13405,20892,2189,3792,326,73156
2,Ciudad de Buenos Aires,3,Comuna 3,9498,9,83,84688,2615,4046,220,2,55,101216,75605,11994,3724,305,3522,683,5328,101161,22,7,1,0,15,0,0,15,91,69,220,101436,0,0,101436,78896,1098,28,467,80489,35821,40826,636,1549,264,24,20,1349,80489,73502,6987,80489,77028,3411,50,80489,80067,347,8,5,52,10,80489,79473,1016,80489,79169,304,79473,79182,253,37,1,79473,71932,7541,79473,77206,38,89,2245,733,12,166,80489,76928,3561,80489,51631,28858,80489,69059,11430,80489,64202,16287,80489,70929,9560,80489,35946,4870,33496,3048,1745,1384,80489,24293,11631,28083,4747,10018,1717,80489
2,Ciudad de Buenos Aires,4,Comuna 4,30199,112,560,46506,4132,1102,273,42,60,82986,69680,6576,2116,297,874,149,3234,82926,15,4,0,0,9,1,2,3,2,11,47,83033,0,0,83033,67987,7670,270,528,76455,23787,37217,1783,11023,1004,120,138,1383,76455,60513,15942,76455,72865,3393,197,76455,75938,386,41,30,38,22,76455,75144,1311,76455,71433,3711,75144,72548,1392,990,214,75144,67998,7146,75144,59569,58,276,16016,353,43,140,76455,73047,3408,76455,42164,34291,76455,65630,10825,76455,53996,22459,76455,66777,9678,76455,40694,5158,24093,3324,791,2395,76455,17610,12247,25761,6316,11787,2734,76455
2,Ciudad de Buenos Aires,5,Comuna 5,14539,3,40,74970,1506,1536,154,2,17,92767,73226,9578,3416,277,1781,363,4109,92750,51,6,1,0,4,0,1,18,17,38,136,92903,0,0,92903,75508,880,14,444,76846,30579,41688,1353,1892,280,10,3,1041,76846,70963,5883,76846,75310,1530,6,76846,76602,201,24,2,15,2,76846,76282,564,76846,76066,216,76282,76002,255,19,6,76282,72628,3654,76282,74798,25,32,1176,743,1,71,76846,75319,1527,76846,54204,22642,76846,67096,9750,76846,66779,10067,76846,72194,4652,76846,40226,4692,26359,2924,1511,1134,76846,25135,13939,26666,4123,6161,822,76846
2,Ciudad de Buenos Aires,6,Comuna 6,13205,13,25,79153,319,587,63,3,26,93394,72942,10126,3538,362,1877,321,4202,93368,42,4,0,0,6,0,0,13,1,21,87,93481,0,0,93481,74411,516,9,253,75189,32488,39509,1270,903,135,6,2,876,75189,71153,4036,75189,74726,439,24,75189,75047,107,5,4,25,1,75189,74973,216,75189,74862,111,74973,74793,154,26,0,74973,73705,1268,74973,73940,18,15,437,743,1,35,75189,74619,570,75189,56637,18552,75189,66241,8948,75189,69116,6073,75189,73533,1656,75189,45355,4278,20361,2424,1970,801,75189,27434,16127,24335,3241,3666,386,75189
2,Ciudad de Buenos Aires,7,Comuna 7,28271,32,128,57414,1991,1504,178,2,51,89571,73034,8005,2869,485,1360,208,3559,89520,65,3,2,0,5,1,0,12,7,22,117,89688,0,0,89688,75468,5493,105,417,81483,29040,43041,2751,4560,819,35,50,1187,81483,70153,11330,81483,78874,2557,52,81483,81067,375,17,6,10,8,81483,80628,855,81483,78124,2504,80628,79722,663,231,12,80628,72872,7756,80628,71293,35,86,9320,506,17,226,81483,77467,4016,81483,50522,30961,81483,69993,11490,81483,64139,17344,81483,74443,7040,81483,46205,5961,23153,3274,1301,1589,81483,23084,16115,26374,4866,9014,2030,81483
2,Ciudad de Buenos Aires,8,Comuna 8,29330,214,431,23956,1271,48,126,1,27,55404,48631,3185,816,226,301,64,2154,55377,5,1,1,0,1,0,1,10,0,4,23,55427,0,0,55427,45695,10672,512,1325,58204,15726,28918,2265,9424,726,109,30,1006,58204,40287,17917,58204,55487,2325,392,58204,57652,288,27,53,170,14,58204,57119,1085,58204,52003,5116,57119,54520,1140,1376,83,57119,50372,6747,57119,37032,92,272,20403,154,98,153,58204,54079,4125,58204,25731,32473,58204,49102,9102,58204,34673,23531,58204,51622,6582,58204,34856,5711,12464,3191,258,1724,58204,10608,9501,18704,5853,10586,2952,58204
2,Ciudad de Buenos Aires,9,Comuna 9,36265,56,88,26224,364,175,146,4,21,63343,52355,5097,1690,444,931,98,2707,63322,28,5,1,0,7,2,0,15,4,9,71,63414,0,0,63414,53803,2434,38,220,56495,16773,29519,4555,4680,447,16,9,496,56495,48803,7692,56495,55784,692,19,56495,56357,92,11,9,20,6,56495,56033,462,56495,55409,624,56033,55412,433,179,9,56033,53487,2546,56033,52081,33,119,4058,154,9,41,56495,55333,1162,56495,34236,22259,56495,47786,8709,56495,46871,9624,56495,54150,2345,56495,35898,2763,13660,2672,330,1172,56495,14573,12131,20027,4239,4717,808,56495
2,Ciudad de Buenos Aires,10,Comuna 10,33776,16,38,36479,652,502,108,1,7,71579,58332,6301,2164,480,1010,158,3127,71572,44,1,2,0,4,1,2,10,5,16,85,71664,0,0,71664,60264,1001,22,166,61453,20870,32154,5024,2587,254,10,5,549,61453,55909,5544,61453,60762,684,7,61453,61351,87,3,2,8,2,61453,61133,320,61453,60934,199,61133,60829,266,32,6,61133,59138,1995,61133,60117,19,47,1036,194,4,36,61453,60532,921,61453,41245,20208,61453,52744,8709,61453,53988,7465,61453,59304,2149,61453,39084,3439,15078,2439,473,940,61453,17560,14189,21494,3727,3943,540,61453
